,audio_filename,filename,id,session_id,session_number,gender_marker,performing_id,utterance_id,utterance_gender,start,end,channels,Anger,Happiness,Sadness,Neutral state
0,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_F011.wav,Ses05F_script03_1_F011,IEMOCAP_0,Ses05,5,F,script03_1,11,F,0,2.1299773242630384,,0,0,0,1
1,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_M012.wav,Ses05F_script03_1_M012,IEMOCAP_4,Ses05,5,F,script03_1,12,M,0,3.2899773242630386,,0,1,0,0
2,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_M023.wav,Ses05F_script03_1_M023,IEMOCAP_6,Ses05,5,F,script03_1,23,M,0,11.550022675736962,,0,1,0,0
3,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_M026.wav,Ses05F_script03_1_M026,IEMOCAP_7,Ses05,5,F,script03_1,26,M,0,2.62,,0,1,0,0
4,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_M028.wav,Ses05F_script03_1_M028,IEMOCAP_8,Ses05,5,F,script03_1,28,M,0,6.970022675736962,,0,1,0,0
5,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_F005.wav,Ses05F_script03_1_F005,IEMOCAP_9,Ses05,5,F,script03_1,5,F,0,2.86,,0,1,0,0
6,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_M020.wav,Ses05F_script03_1_M020,IEMOCAP_11,Ses05,5,F,script03_1,20,M,0,9.589977324263039,,0,1,0,0
7,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_F031.wav,Ses05F_script03_1_F031,IEMOCAP_14,Ses05,5,F,script03_1,31,F,0,4.709977324263039,,0,1,0,0
8,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_M018.wav,Ses05F_script03_1_M018,IEMOCAP_15,Ses05,5,F,script03_1,18,M,0,2.18,,0,1,0,0
9,IEMOCAP/Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_M013.wav,Ses05F_script03_1_M013,IEMOCAP_16,Ses05,5,F,script03_1,13,M,0,14.810022675736962,,0,1,0,0
